project,bug,cornTotal,corn2,cornN,cornIN,isCorn
p2,217272,3,3,0,0,0
p2,208965,3,3,0,0,0
p2,262109,3,3,0,0,0
p2,228999,3,3,0,0,0
p2,303128,3,3,0,0,0
p2,330338,3,3,0,0,0
p2,381673,3,3,0,0,0
p2,264724,3,3,0,0,0
p2,263593,3,3,0,0,0
p2,397183,3,3,0,0,0
p2,259598,3,3,0,0,0
p2,521147,3,3,0,0,0
p2,223128,3,3,0,0,0
p2,251015,3,3,0,0,0
p2,215560,3,3,0,0,0
p2,259792,3,3,0,0,0
p2,247058,3,3,0,0,0
p2,206088,3,3,0,0,0
p2,221727,3,3,0,0,0
p2,210585,3,3,0,0,0
swt,497809,3,3,0,0,0
jdt,66533,2,1,1,1,1
jdt,178213,2,1,1,1,1
jdt,425152,2,1,1,1,1
jdt,74286,2,1,1,1,1
jdt,399979,2,1,1,1,1
jdt,419664,2,1,1,1,1
jdt,400871,2,1,1,1,1
jdt,366003,2,0,2,2,1
jdt,450442,2,1,1,1,1
jdt,427744,2,1,1,1,1
p2,242007,2,1,1,1,1
p2,273668,2,1,1,1,1
p2,244628,2,1,1,1,1
p2,223447,2,1,1,1,1
p2,231590,2,1,1,1,1
p2,329386,2,0,2,1,1
p2,262611,2,1,1,1,1
p2,305237,2,1,1,1,1
p2,300450,2,1,1,1,1
p2,258105,2,1,1,1,1
swt,513052,2,1,1,1,1
swt,497807,2,1,1,1,1
jdt,407414,2,1,1,0,0
jdt,443596,2,2,0,0,0
jdt,405068,2,2,0,0,0
jdt,402080,2,1,1,0,0
jdt,402812,2,2,0,0,0
jdt,171019,2,2,0,0,0
jdt,400556,2,2,0,0,0
jdt,370639,2,1,1,0,0
jdt,427072,2,2,0,0,0
jdt,399224,2,2,0,0,0
jdt,365859,2,2,0,0,0
jdt,466291,2,2,0,0,0
jdt,458577,2,2,0,0,0
jdt,488659,2,2,0,0,0
jdt,424286,2,2,0,0,0
jdt,58582,2,2,0,0,0
jdt,485057,2,2,0,0,0
jdt,132679,2,2,0,0,0
jdt,415850,2,2,0,0,0
jdt,402219,2,1,1,0,0
jdt,59788,2,2,0,0,0
jdt,418235,2,2,0,0,0
jdt,77359,2,2,0,0,0
jdt,382701,2,2,0,0,0
jdt,482075,2,2,0,0,0
jdt,392862,2,2,0,0,0
jdt,526591,2,2,0,0,0
jdt,424080,2,2,0,0,0
jdt,521058,2,2,0,0,0
jdt,359334,2,2,0,0,0
jdt,424053,2,0,2,0,0
jdt,419165,2,2,0,0,0
jdt,493296,2,2,0,0,0
jdt,509328,2,1,1,0,0
